step,is_surprise,best_err,z,z_thresh_eff,ema_err,sigma,ratio,plasticity,dominance,state_entropy,spectral_entropy,spectral_flatness,status,fatigue,surprise_rate_ema,hipp_bank,hipp_sim,hipp_chi,hipp_write,lr_scale_raw,lr_scale_eff,thermo_energy,thermo_rho,thermo_temp,thermo_lambda,ts_err,ts_expl,ts_cond
9,True,0.0005016981158405542,2.358898635756641,1.4804176876836206,0.02762269771973108,0.011497314548741169,3.9083969465648853,0.0004656800344986804,,,,,CALIBRATING,0.18,0.008964083874125915,ELEVATED,0.010400000028312206,0.051364911261843414,False,1.5266987864218624,1.46788472565577,0.13589613480211213,1.2699302352607198,0.0,0.990003488236964,,,
10,True,0.0005585695616900921,2.426378972979523,1.4783312387023726,0.02759563359157304,0.011142968320683318,3.9083969465648853,0.00018261601742101773,,,,,CALIBRATING,0.19999999999999998,0.00995511979025179,ELEVATED,0.009999999776482582,0.05130331029751757,False,1.5221664872759224,1.4635973525600232,0.26495140073937434,1.2698840725560319,0.0,0.9900057963721984,,,
11,True,0.0006506149657070637,2.4909005048990918,1.476262360507157,0.027568688572947173,0.01080656315027347,3.9083969465648853,5.298037677870841e-05,,,,,CALIBRATING,0.21999999999999997,0.010945164670461537,ELEVATED,0.009399999864399433,0.051211047414007276,False,1.517652155268869,1.459361737907786,0.38755444384241744,1.2698616777519915,0.0,0.9900069161124004,,,
12,True,0.0007115467451512814,2.557424422980937,1.4742109729200885,0.027541831431119376,0.010491134926558135,3.9083969465648853,9.697731459281975e-05,,,,,CALIBRATING,0.23999999999999996,0.011934219505791075,ELEVATED,0.010400000028312206,0.051364911261843414,False,1.5131557058128515,1.4548633743970296,0.5045503360905839,1.2698616777519915,0.0,0.9900068706093536,,,
13,True,0.0008093811920844018,2.619489683538115,1.4721769964700255,0.02751509898088034,0.01019500781263808,3.9083969465648853,0.0001318832210495676,,,,,CALIBRATING,0.25999999999999995,0.012922285286285282,ELEVATED,0.009399999864399433,0.051211047414007276,False,1.508677054774475,1.4507313556361146,0.616054388100238,1.2698847849818018,0.0,0.9900057152478631,,,
14,True,0.0009104400523938239,2.6799518832501508,1.4701603523873126,0.027488494321951853,0.009917362485376082,3.9083969465648853,0.00014650651933819208,,,,,CALIBRATING,0.27999999999999997,0.013909363000998997,ELEVATED,0.009399999864399433,0.051211047414007276,False,1.50421611847208,1.4464417562490892,0.7224555181158843,1.2699285564250817,0.0,0.9900035266756991,,,
15,True,0.0010242577409371734,2.737744438258927,1.4681609625985752,0.02746203008537084,0.009656771455719516,3.9083969465648853,0.00015084888708472702,,,,,CALIBRATING,0.3,0.014895453637997998,ELEVATED,0.009399999864399433,0.051211047414007276,False,1.4997728136730422,1.4421691111696051,0.8239972133519503,1.2699911797727232,0.0,0.9900003955083171,,,
16,True,0.0011208913056179881,2.7957349758335237,1.4661787497215653,0.027435688946591087,0.009412479318833707,3.9083969465648853,0.00015092052510487925,,,,,CALIBRATING,0.32,0.01588055818436,ELEVATED,0.008799999952316284,0.05111895045428678,False,1.4953470575910877,1.4380166284793658,0.921185000741428,1.2700707654250445,0.0,0.989996416225701,,,
17,True,0.001296146772801876,2.844100615797071,1.4642136370600563,0.0274095494044173,0.00918160295967484,3.9083969465648853,0.00014883920113188993,,,,,CALIBRATING,0.34,0.01686467762617564,ELEVATED,0.008799999952316284,0.05111895045428678,False,1.4909387678836268,1.433777349129263,1.0134927640816522,1.2701652978491877,0.0,0.9899916896044938,,,
18,True,0.0014077628729864955,2.897627392682958,1.4622655485987905,0.02738354761788587,0.008964501374639474,3.9083969465648853,0.00014644178480748184,,,,,CALIBRATING,0.36000000000000004,0.017847812948549466,ELEVATED,0.009200000204145908,0.05118033005386909,False,1.4865478626491064,1.4294863549606651,1.1019238239776952,1.2702729812697378,0.0,0.9899863054334663,,,
